Run,Amp,Conc (fg/ul),CT
5,2,1.00E+04,15.679
5,2,1.00E+03,19.039
5,2,1.00E+02,21.629
5,2,1.00E+01,25.457
5,2,1.00E+00,28.585
5,2,1.00E-01,32.336
5,2,1.00E-02,36.616
5,2,0.00E+00,Undetermined
5,4,1.00E+06,7.772
5,4,1.00E+05,11.825
5,4,1.00E+04,15.299
5,4,1.00E+03,18.573
5,4,1.00E+02,21.265
5,4,1.00E+01,25.142
5,4,1.00E+00,28.107
5,4,1.00E-01,32.144
5,4,1.00E-02,36.896
5,4,0.00E+00,Undetermined
5,5,1.00E+06,7.717
5,5,1.00E+05,11.846
5,5,1.00E+04,15.376
5,5,1.00E+03,18.693
5,5,1.00E+02,21.405
5,5,1.00E+01,25.181
5,5,1.00E+00,28.217
5,5,1.00E-01,32.144
5,5,1.00E-02,36.313
5,5,0.00E+00,Undetermined
5,7,1.00E+06,7.828
5,7,1.00E+05,11.876
5,7,1.00E+04,15.405
5,7,1.00E+03,18.634
5,7,1.00E+02,21.473
5,7,1.00E+01,25.295
5,7,1.00E+00,28.424
5,7,1.00E-01,32.024
5,7,1.00E-02,34.682
5,7,0.00E+00,Undetermined
5,10,1.00E+06,8.266
5,10,1.00E+05,12.528
5,10,1.00E+04,15.836
5,10,1.00E+03,19.157
5,10,1.00E+02,21.862
5,10,1.00E+01,25.713
5,10,1.00E+00,28.686
5,10,1.00E-01,33.284
5,10,1.00E-02,36.293
5,10,0.00E+00,Undetermined
8,1,1.00E+02,31.498
5,1,1.00E+01,35.767
6,1,1.00E+01,36.963
6,1,1.00E+01,36.993
6,1,1.00E+01,36.507
8,1,1.00E+01,34.475
8,1,1.00E+01,35.303
4,1,1.00E+00,Undetermined
4,1,1.00E+00,36.570
4,1,1.00E+00,Undetermined
5,1,1.00E+00,38.394
4,1,1.00E-01,Undetermined
4,1,1.00E-01,38.431
4,1,1.00E-01,38.414
5,1,1.00E-01,Undetermined
4,1,1.00E-02,Undetermined
4,1,1.00E-02,Undetermined
4,1,1.00E-02,Undetermined
6,2,1.00E+05,14.491
6,2,1.00E+05,14.518
6,2,1.00E+05,14.503
6,2,1.00E+04,17.291
6,2,1.00E+04,17.273
6,2,1.00E+04,17.294
6,2,1.00E+03,21.465
6,2,1.00E+03,21.473
6,2,1.00E+03,21.499
6,2,1.00E+02,24.023
6,2,1.00E+02,24.011
6,2,1.00E+02,23.993
6,2,1.00E+01,27.440
6,2,1.00E+01,27.444
6,2,1.00E+01,27.491
6,2,0.00E+00,Undetermined
6,2,0.00E+00,Undetermined
6,2,0.00E+00,Undetermined
